Location,Size,Bedroom,Bath,Price,Date of Sale
Pasadena,1800,3,3,167000,5 months ago
Riverside,2150,5,3,195000,5 months ago
Burbank,3100,7,4.5,487000,3 months ago
Long Beach,3150,6,4.5,485000,5 months ago
Long Beach,3250,7,4.5,455000,1 month ago
Pasadena,1400,2,2.5,160000,4 months ago
Long Beach,1750,4,3,180000,1 month ago
Van Nuys,3150,7,4.5,466000,5 months ago
Riverside,1800,5,3,209000,1 month ago
Pasadena,2700,4,4,340000,3 months ago
Van Nuys,1650,5,3,199000,4 months ago
Pasadena,3350,8,4.5,512000,4 months ago
Pasadena,1750,5,3,241000,5 months ago
Burbank,1150,2,2.5,163000,5 months ago
Riverside,2850,6,4,253000,2 months ago
Riverside,3350,7,4.5,432000,1 month ago
Van Nuys,1950,4,3,155000,6 months ago
Riverside,2200,5,3,202000,1 month ago
Van Nuys,3150,5,4.5,421000,6 months ago
Riverside,2700,6,4,409000,4 months ago
Burbank,1650,4,3,219000,5 months ago
San Diego,1550,3,3,188000,4 months ago
Riverside,2400,5,4,317000,5 months ago
Pasadena,1500,2,2.5,169000,1 month ago
San Diego,2450,5,4,434000,4 months ago
Van Nuys,2100,4,3,172000,3 months ago
San Diego,2300,4,3,187000,6 months ago
Riverside,2950,6,4.5,464000,5 months ago
Long Beach,2700,4,4,387000,4 months ago
Riverside,3150,7,4.5,436000,2 months ago
Riverside,2200,5,3,216000,1 month ago
Pasadena,2700,6,4,436000,3 months ago
Riverside,1800,3,3,169000,2 months ago
Long Beach,1800,3,3,186000,4 months ago
Long Beach,3400,6,4.5,478000,3 months ago
Van Nuys,2650,5,4,406000,1 month ago
San Diego,2700,5,4,358000,5 months ago
San Diego,3300,5,4.5,450000,6 months ago
Burbank,3400,6,4.5,520000,6 months ago
Long Beach,3100,5,4.5,437000,3 months ago
Van Nuys,2250,4,3,202000,2 months ago
San Diego,1700,5,3,165000,5 months ago
Riverside,2100,5,3,154000,1 month ago
Riverside,2050,3,3,231000,2 months ago
Long Beach,2100,5,3,222000,5 months ago
San Diego,2650,5,4,364000,4 months ago
Riverside,2750,5,4,401000,6 months ago
Long Beach,1800,3,3,219000,5 months ago
San Diego,2950,5,4.5,436000,2 months ago
Van Nuys,2350,6,4,313000,6 months ago
San Diego,2000,5,3,233000,4 months ago
Van Nuys,3100,7,4.5,475000,1 month ago
Riverside,3400,8,4.5,430000,5 months ago
Riverside,2300,3,3,232000,4 months ago
Van Nuys,2100,4,3,182000,6 months ago
Long Beach,2950,8,4.5,499000,4 months ago
Riverside,3400,5,4.5,500000,2 months ago
Pasadena,1700,5,3,219000,4 months ago
Burbank,2550,6,4,259000,5 months ago
Pasadena,1200,2,2.5,141000,2 months ago
Riverside,1300,3,2.5,149000,2 months ago
Riverside,2850,4,4,421000,4 months ago
Long Beach,3100,5,4.5,500000,5 months ago
Long Beach,3300,6,4.5,511000,6 months ago
San Diego,3150,7,4.5,482000,5 months ago
Long Beach,2650,5,4,258000,6 months ago
Burbank,2300,5,3,210000,4 months ago
Riverside,1800,4,3,235000,2 months ago
Burbank,1350,2,2.5,149000,3 months ago
Long Beach,3300,5,4.5,514000,4 months ago
Pasadena,2100,4,3,175000,2 months ago
Burbank,3350,8,4.5,483000,3 months ago
San Diego,2900,6,4,314000,5 months ago
Pasadena,2500,4,4,356000,1 month ago
Burbank,1850,4,3,222000,5 months ago
Riverside,3350,7,4.5,458000,4 months ago
Van Nuys,2200,4,3,237000,6 months ago
Riverside,1350,3,2.5,160000,3 months ago
Long Beach,2750,5,4,330000,2 months ago
Pasadena,1350,3,2.5,148000,1 month ago
Van Nuys,2650,6,4,410000,5 months ago
Long Beach,2100,3,3,249000,5 months ago
Long Beach,1950,4,3,247000,4 months ago
Pasadena,2250,3,3,228000,4 months ago
Van Nuys,1350,3,2.5,141000,2 months ago
Riverside,1250,3,2.5,144000,6 months ago
Long Beach,1700,5,3,237000,2 months ago
San Diego,2250,5,3,250000,4 months ago
Pasadena,3000,7,4.5,436000,3 months ago
Long Beach,3400,8,4.5,425000,6 months ago
Van Nuys,1400,3,2.5,175000,4 months ago
Van Nuys,2350,4,4,380000,3 months ago
Pasadena,2700,4,4,235000,3 months ago
Pasadena,3400,6,4.5,446000,4 months ago
Long Beach,1150,2,2.5,166000,1 month ago
Riverside,1650,3,3,244000,3 months ago
Pasadena,1400,2,2.5,169000,1 month ago
Pasadena,1700,5,3,168000,3 months ago
Long Beach,2750,6,4,311000,3 months ago
San Diego,2550,6,4,315000,4 months ago
Pasadena,3050,8,4.5,453000,2 months ago
Riverside,2700,5,4,386000,4 months ago
Long Beach,3300,6,4.5,517000,4 months ago
Pasadena,1650,4,3,244000,4 months ago
Van Nuys,1500,3,2.5,145000,3 months ago
Burbank,2050,4,3,178000,6 months ago
Van Nuys,1550,5,3,175000,1 month ago
Burbank,1250,2,2.5,143000,1 month ago
Van Nuys,3000,5,4.5,511000,5 months ago
Riverside,1650,3,3,244000,2 months ago
Pasadena,1950,5,3,150000,6 months ago
San Diego,1450,3,2.5,140000,5 months ago
Burbank,1550,3,3,207000,4 months ago
Riverside,2150,5,3,214000,6 months ago
San Diego,2700,4,4,301000,1 month ago
Van Nuys,3050,5,4.5,448000,2 months ago
Riverside,2250,5,3,226000,5 months ago
Burbank,2300,3,3,150000,1 month ago
Long Beach,1950,3,3,210000,6 months ago
Pasadena,1150,2,2.5,160000,1 month ago
Long Beach,2650,6,4,408000,2 months ago
Long Beach,1400,2,2.5,168000,1 month ago
Burbank,3100,8,4.5,474000,2 months ago
Riverside,2550,5,4,272000,3 months ago
Burbank,1350,2,2.5,171000,2 months ago
San Diego,2650,5,4,391000,2 months ago
San Diego,1950,5,3,217000,1 month ago
Van Nuys,3100,5,4.5,504000,2 months ago
Riverside,1400,2,2.5,174000,6 months ago
Van Nuys,2600,5,4,262000,1 month ago
Burbank,2800,5,4,404000,4 months ago
San Diego,2650,5,4,299000,3 months ago
Van Nuys,1900,4,3,214000,3 months ago
Riverside,3200,5,4.5,434000,3 months ago
Pasadena,1450,3,2.5,161000,6 months ago
Long Beach,1800,4,3,224000,4 months ago
Long Beach,1200,2,2.5,153000,3 months ago
San Diego,2050,4,3,241000,4 months ago
Van Nuys,3100,7,4.5,503000,4 months ago
Riverside,1650,5,3,221000,1 month ago
Pasadena,2550,6,4,282000,6 months ago
Riverside,3100,6,4.5,500000,1 month ago
Pasadena,2850,6,4,436000,1 month ago
Pasadena,1800,4,3,167000,6 months ago
Riverside,2550,4,4,235000,3 months ago
Burbank,1750,5,3,215000,3 months ago
San Diego,2500,6,4,265000,3 months ago
Van Nuys,2550,5,4,294000,5 months ago
San Diego,2500,4,4,392000,4 months ago
San Diego,2150,4,3,237000,3 months ago
Pasadena,1700,3,3,158000,2 months ago
Pasadena,2150,3,3,193000,2 months ago
Van Nuys,3300,5,4.5,431000,3 months ago
Riverside,2950,5,4.5,425000,2 months ago
Pasadena,3100,8,4.5,441000,5 months ago
Burbank,1700,3,3,153000,3 months ago
Long Beach,2300,3,3,229000,3 months ago
San Diego,2900,4,4,356000,4 months ago
Burbank,3150,7,4.5,496000,1 month ago
San Diego,1950,4,3,241000,6 months ago
San Diego,3100,8,4.5,478000,4 months ago
Van Nuys,1750,3,3,212000,2 months ago
San Diego,1700,5,3,180000,3 months ago
Burbank,1950,4,3,200000,4 months ago
Burbank,1900,4,3,245000,5 months ago
San Diego,1850,4,3,156000,3 months ago
Pasadena,3150,7,4.5,489000,4 months ago
Long Beach,2100,5,3,176000,5 months ago
Burbank,1100,2,2.5,144000,4 months ago
Pasadena,1200,3,2.5,163000,4 months ago
Van Nuys,2850,4,4,294000,5 months ago
Van Nuys,2450,5,4,356000,3 months ago
San Diego,2500,6,4,391000,5 months ago
San Diego,2800,4,4,335000,2 months ago
Burbank,2850,5,4,277000,5 months ago
Long Beach,1250,2,2.5,175000,3 months ago
San Diego,1200,3,2.5,147000,5 months ago
San Diego,2200,5,3,168000,3 months ago
Van Nuys,1900,3,3,168000,6 months ago
Burbank,2600,5,4,326000,5 months ago
Long Beach,1800,3,3,176000,1 month ago
Riverside,1550,3,3,244000,2 months ago
Burbank,1500,2,2.5,174000,6 months ago
Riverside,2250,5,3,152000,4 months ago
Long Beach,3150,5,4.5,483000,3 months ago
Pasadena,1200,2,2.5,145000,3 months ago
Pasadena,3150,7,4.5,482000,4 months ago
Pasadena,2350,6,4,376000,3 months ago
Van Nuys,2200,5,3,159000,4 months ago
Burbank,2800,4,4,398000,5 months ago
San Diego,1450,3,2.5,159000,4 months ago
Long Beach,1600,5,3,216000,5 months ago
Long Beach,3000,6,4.5,411000,5 months ago
San Diego,3200,8,4.5,467000,3 months ago
San Diego,2150,5,3,198000,2 months ago
Long Beach,1950,5,3,176000,3 months ago
Riverside,1450,3,2.5,166000,4 months ago
Riverside,3400,6,4.5,431000,2 months ago
Pasadena,2900,4,4,420000,3 months ago
Van Nuys,2300,4,3,169000,1 month ago
Burbank,1150,3,2.5,147000,2 months ago
Burbank,2150,4,3,193000,6 months ago
Burbank,1150,2,2.5,142000,6 months ago
Long Beach,2150,3,3,182000,4 months ago
Burbank,2650,4,4,290000,5 months ago
Van Nuys,2900,4,4,276000,4 months ago
Burbank,2500,4,4,282000,5 months ago
Riverside,1550,3,3,226000,1 month ago
Long Beach,1850,4,3,196000,5 months ago
Riverside,2450,6,4,361000,1 month ago
Long Beach,1200,3,2.5,156000,2 months ago
Long Beach,2250,3,3,232000,3 months ago
San Diego,1700,3,3,156000,4 months ago
San Diego,3300,5,4.5,433000,3 months ago
Long Beach,1800,5,3,180000,5 months ago
Van Nuys,2100,3,3,213000,1 month ago
Pasadena,3300,6,4.5,486000,2 months ago
Burbank,3350,5,4.5,440000,1 month ago
San Diego,2100,5,3,232000,5 months ago
Long Beach,1150,2,2.5,149000,2 months ago
San Diego,1950,5,3,169000,6 months ago
Van Nuys,1750,4,3,239000,4 months ago
Van Nuys,1850,5,3,192000,6 months ago
Burbank,1100,3,2.5,144000,1 month ago
Pasadena,1550,5,3,182000,6 months ago
Van Nuys,2800,6,4,420000,4 months ago
San Diego,1700,5,3,230000,4 months ago
Long Beach,2150,4,3,194000,1 month ago
Burbank,2950,6,4.5,476000,1 month ago
San Diego,1150,3,2.5,170000,4 months ago
Burbank,3200,5,4.5,473000,1 month ago
Van Nuys,2100,4,3,154000,6 months ago
Burbank,3250,6,4.5,430000,3 months ago
Pasadena,1700,3,3,250000,3 months ago
Van Nuys,2600,6,4,366000,4 months ago
Burbank,2800,5,4,303000,4 months ago
Van Nuys,2150,5,3,172000,6 months ago
Riverside,3400,6,4.5,478000,5 months ago
Long Beach,1450,3,2.5,151000,2 months ago
Riverside,2950,6,4.5,477000,4 months ago
Van Nuys,2650,6,4,268000,6 months ago
Riverside,2600,4,4,242000,3 months ago
Burbank,2300,5,3,194000,4 months ago
Riverside,1400,2,2.5,146000,6 months ago
Riverside,1950,5,3,189000,6 months ago
Riverside,1300,3,2.5,168000,3 months ago
Pasadena,1800,3,3,190000,1 month ago
Long Beach,3350,7,4.5,421000,4 months ago
Pasadena,2050,5,3,164000,1 month ago
Burbank,2750,5,4,324000,2 months ago
San Diego,1400,3,2.5,167000,3 months ago
San Diego,2100,3,3,197000,4 months ago
Long Beach,2150,5,3,164000,6 months ago
Riverside,1900,3,3,158000,6 months ago
Burbank,1600,4,3,208000,6 months ago
Van Nuys,3100,5,4.5,489000,3 months ago
Long Beach,2400,5,4,370000,4 months ago
Riverside,3300,6,4.5,518000,2 months ago
Van Nuys,3150,5,4.5,499000,3 months ago
San Diego,3400,5,4.5,422000,4 months ago
Riverside,2650,4,4,345000,1 month ago
Burbank,2650,5,4,313000,2 months ago
San Diego,2650,4,4,437000,5 months ago
Burbank,1150,2,2.5,147000,2 months ago
Burbank,1350,2,2.5,146000,5 months ago
Long Beach,1500,2,2.5,166000,2 months ago
Pasadena,2000,4,3,169000,4 months ago
Pasadena,3150,8,4.5,453000,6 months ago
Long Beach,1250,3,2.5,171000,1 month ago
Van Nuys,2400,4,4,363000,4 months ago
Burbank,3050,7,4.5,413000,6 months ago
San Diego,1100,3,2.5,159000,4 months ago
Pasadena,3150,7,4.5,511000,4 months ago
Van Nuys,1650,4,3,214000,4 months ago
San Diego,1800,3,3,152000,4 months ago
Van Nuys,2950,6,4.5,456000,2 months ago
Burbank,1650,3,3,202000,4 months ago
San Diego,2000,5,3,203000,1 month ago
Riverside,2300,5,3,223000,6 months ago
San Diego,2350,5,4,317000,2 months ago
Long Beach,3050,6,4.5,492000,4 months ago
Van Nuys,2350,6,4,397000,5 months ago
Riverside,3400,6,4.5,491000,5 months ago
San Diego,1200,3,2.5,169000,3 months ago
Burbank,3050,8,4.5,499000,6 months ago
San Diego,2700,6,4,271000,1 month ago
Van Nuys,1200,2,2.5,170000,3 months ago
San Diego,2700,4,4,355000,4 months ago
Riverside,1750,4,3,225000,6 months ago
Pasadena,3300,5,4.5,488000,1 month ago
Burbank,3050,7,4.5,464000,5 months ago
Riverside,1450,2,2.5,161000,5 months ago
Pasadena,1650,5,3,187000,4 months ago
Riverside,1200,2,2.5,169000,1 month ago
San Diego,1200,2,2.5,159000,6 months ago
Van Nuys,1200,2,2.5,168000,1 month ago
Long Beach,2650,6,4,253000,2 months ago
Long Beach,2250,5,3,245000,6 months ago
San Diego,2450,6,4,264000,1 month ago
Riverside,1300,3,2.5,154000,1 month ago
San Diego,1600,5,3,163000,2 months ago
Van Nuys,2550,5,4,234000,1 month ago
Van Nuys,2450,6,4,400000,3 months ago
Long Beach,2900,6,4,431000,1 month ago
Long Beach,2500,4,4,340000,5 months ago
San Diego,2100,4,3,155000,1 month ago
Burbank,1200,3,2.5,156000,4 months ago
Burbank,2000,3,3,177000,2 months ago
Riverside,3100,7,4.5,487000,5 months ago
Long Beach,2150,5,3,188000,6 months ago
Van Nuys,1950,3,3,169000,2 months ago
San Diego,2900,5,4,279000,2 months ago
Pasadena,1250,2,2.5,174000,3 months ago
Burbank,2150,3,3,171000,5 months ago
Van Nuys,3400,7,4.5,427000,2 months ago
Van Nuys,1500,3,2.5,166000,5 months ago
Riverside,1900,5,3,163000,3 months ago
San Diego,3100,7,4.5,435000,1 month ago
Pasadena,3000,7,4.5,422000,4 months ago
Long Beach,2050,5,3,188000,1 month ago
Long Beach,3100,7,4.5,448000,4 months ago
Burbank,1250,3,2.5,142000,2 months ago
Long Beach,1700,3,3,159000,5 months ago
Riverside,2000,3,3,225000,4 months ago
San Diego,3050,7,4.5,474000,4 months ago
Burbank,1750,5,3,213000,5 months ago
Van Nuys,1250,2,2.5,141000,2 months ago
San Diego,3250,8,4.5,505000,2 months ago
San Diego,1600,5,3,175000,6 months ago
Burbank,2100,5,3,246000,1 month ago
Riverside,2650,4,4,393000,4 months ago
San Diego,3050,6,4.5,470000,4 months ago
Van Nuys,1600,5,3,200000,6 months ago
Van Nuys,1700,5,3,194000,5 months ago
San Diego,2750,5,4,353000,5 months ago
Burbank,1750,4,3,241000,6 months ago
Van Nuys,3350,5,4.5,473000,2 months ago
Van Nuys,3050,8,4.5,454000,1 month ago
Van Nuys,1200,3,2.5,153000,2 months ago
Pasadena,1600,4,3,250000,2 months ago
Van Nuys,3300,8,4.5,478000,4 months ago
Van Nuys,1900,5,3,172000,6 months ago
Long Beach,1950,4,3,210000,4 months ago
Riverside,2600,6,4,356000,6 months ago
Long Beach,3150,5,4.5,424000,3 months ago
Riverside,2850,5,4,303000,4 months ago
San Diego,1150,2,2.5,167000,5 months ago
Van Nuys,1550,5,3,206000,6 months ago
Long Beach,2350,5,4,359000,2 months ago
Riverside,1400,2,2.5,144000,1 month ago
Burbank,1650,4,3,162000,1 month ago
Pasadena,3050,8,4.5,483000,5 months ago
Van Nuys,3150,6,4.5,427000,1 month ago
Pasadena,3250,5,4.5,501000,1 month ago
Pasadena,3050,8,4.5,518000,5 months ago
Riverside,2100,5,3,208000,5 months ago
Long Beach,3350,6,4.5,506000,3 months ago
Burbank,2300,4,3,222000,2 months ago
Van Nuys,2450,4,4,386000,4 months ago
Burbank,3100,8,4.5,495000,6 months ago
Long Beach,1400,3,2.5,159000,6 months ago
Pasadena,3300,8,4.5,505000,3 months ago
Pasadena,1600,3,3,236000,1 month ago
Burbank,1150,2,2.5,145000,6 months ago
Riverside,1100,3,2.5,147000,2 months ago
Long Beach,2950,6,4.5,512000,6 months ago
Van Nuys,2450,6,4,287000,3 months ago
Van Nuys,1350,2,2.5,155000,1 month ago
San Diego,3200,6,4.5,502000,5 months ago
Pasadena,2200,4,3,238000,6 months ago
Riverside,2400,6,4,370000,2 months ago
Burbank,1700,3,3,206000,1 month ago
Riverside,2550,5,4,283000,2 months ago
Riverside,2050,4,3,188000,1 month ago
Pasadena,2350,5,4,285000,1 month ago
Pasadena,1350,3,2.5,171000,4 months ago
Long Beach,1150,3,2.5,149000,1 month ago
San Diego,3150,7,4.5,478000,6 months ago
Pasadena,1850,4,3,231000,2 months ago
San Diego,2450,5,4,398000,6 months ago
San Diego,2150,4,3,151000,2 months ago
San Diego,2400,6,4,319000,1 month ago
Burbank,1100,3,2.5,151000,3 months ago
Riverside,1900,4,3,155000,6 months ago
Van Nuys,3050,5,4.5,429000,6 months ago
Burbank,1400,3,2.5,149000,1 month ago
Riverside,1600,5,3,153000,6 months ago
Riverside,1100,2,2.5,169000,1 month ago
Long Beach,2750,4,4,352000,1 month ago
Pasadena,3300,6,4.5,474000,6 months ago
Pasadena,1450,2,2.5,155000,5 months ago
Van Nuys,1850,3,3,180000,6 months ago
Pasadena,2300,5,3,229000,1 month ago
Pasadena,1250,3,2.5,155000,4 months ago
Pasadena,1350,3,2.5,159000,2 months ago
Riverside,2750,6,4,318000,6 months ago
Burbank,2400,5,4,249000,6 months ago
Van Nuys,3250,7,4.5,428000,5 months ago
Riverside,1900,3,3,221000,1 month ago
San Diego,3050,5,4.5,446000,3 months ago
Riverside,2100,4,3,186000,5 months ago
Long Beach,1500,2,2.5,160000,6 months ago
Pasadena,1650,4,3,162000,2 months ago
Van Nuys,2700,4,4,430000,5 months ago
Riverside,1550,5,3,172000,4 months ago
Van Nuys,3100,6,4.5,520000,4 months ago
Riverside,1250,3,2.5,175000,1 month ago
San Diego,2850,6,4,333000,4 months ago
Van Nuys,1950,5,3,250000,6 months ago
Van Nuys,2550,5,4,418000,2 months ago
Van Nuys,1100,2,2.5,175000,2 months ago
San Diego,2750,4,4,295000,1 month ago
Long Beach,1300,2,2.5,155000,4 months ago
San Diego,3300,6,4.5,487000,3 months ago
Riverside,1100,3,2.5,169000,5 months ago
Long Beach,1350,2,2.5,143000,6 months ago
Pasadena,1650,4,3,164000,6 months ago
Long Beach,2250,4,3,154000,5 months ago
Long Beach,1450,3,2.5,175000,5 months ago
Long Beach,3000,8,4.5,476000,1 month ago
Long Beach,3250,7,4.5,413000,1 month ago
Burbank,3350,8,4.5,437000,4 months ago
Pasadena,1600,3,3,195000,6 months ago
Burbank,2800,6,4,378000,5 months ago
Burbank,3300,6,4.5,432000,6 months ago
Burbank,1800,5,3,248000,4 months ago
Van Nuys,3200,8,4.5,482000,6 months ago
San Diego,2800,5,4,294000,1 month ago
San Diego,1100,3,2.5,154000,4 months ago
Riverside,2200,3,3,198000,3 months ago
Long Beach,1850,5,3,166000,1 month ago
Riverside,2250,3,3,223000,2 months ago
Van Nuys,1650,3,3,221000,4 months ago
Pasadena,2100,4,3,163000,4 months ago
Riverside,1600,5,3,180000,6 months ago
Riverside,1400,2,2.5,142000,2 months ago
Burbank,1250,3,2.5,140000,4 months ago
Van Nuys,1700,5,3,228000,1 month ago
Burbank,3400,6,4.5,489000,3 months ago
Long Beach,2900,6,4,398000,2 months ago
Van Nuys,1300,2,2.5,166000,2 months ago
San Diego,2700,5,4,415000,5 months ago
Riverside,1250,2,2.5,161000,6 months ago
Burbank,3400,8,4.5,444000,2 months ago
Burbank,1900,3,3,207000,3 months ago
San Diego,1750,3,3,199000,3 months ago
Pasadena,2500,5,4,291000,3 months ago
Pasadena,1350,3,2.5,149000,1 month ago
Long Beach,2400,6,4,319000,5 months ago
Pasadena,1200,2,2.5,168000,2 months ago
Long Beach,1500,2,2.5,148000,5 months ago
Riverside,3100,6,4.5,426000,1 month ago
Burbank,1700,4,3,154000,2 months ago
Pasadena,3100,5,4.5,442000,4 months ago
Burbank,2750,5,4,376000,2 months ago
San Diego,2250,4,3,184000,3 months ago
Van Nuys,1600,5,3,250000,1 month ago
Pasadena,3400,5,4.5,455000,5 months ago
Pasadena,1250,3,2.5,142000,4 months ago
Burbank,1100,2,2.5,155000,6 months ago
Long Beach,1900,3,3,192000,3 months ago
Van Nuys,2350,5,4,391000,6 months ago
Pasadena,2450,6,4,262000,3 months ago
San Diego,1450,2,2.5,155000,4 months ago
San Diego,2100,4,3,227000,2 months ago
Riverside,1800,3,3,200000,1 month ago
Long Beach,3300,8,4.5,482000,3 months ago
Burbank,1400,3,2.5,167000,1 month ago
Burbank,1450,2,2.5,148000,1 month ago
Long Beach,1650,4,3,193000,5 months ago
Burbank,1600,3,3,204000,5 months ago
Burbank,1500,3,2.5,140000,4 months ago
Van Nuys,2550,6,4,407000,4 months ago
Pasadena,3250,6,4.5,423000,5 months ago
Riverside,1550,3,3,201000,1 month ago
Burbank,1200,3,2.5,171000,5 months ago
Long Beach,3350,7,4.5,472000,6 months ago
Pasadena,1350,3,2.5,144000,4 months ago
Pasadena,3150,6,4.5,455000,3 months ago
San Diego,3200,6,4.5,418000,2 months ago
Riverside,1800,3,3,218000,1 month ago
Riverside,1700,4,3,207000,1 month ago
Riverside,3250,7,4.5,457000,6 months ago
Burbank,1850,3,3,225000,2 months ago
Pasadena,1750,5,3,221000,5 months ago
Van Nuys,1600,4,3,155000,2 months ago
Burbank,2450,6,4,260000,3 months ago
Long Beach,1300,2,2.5,160000,4 months ago
Burbank,2050,3,3,183000,6 months ago
San Diego,1550,4,3,173000,6 months ago
Van Nuys,1400,3,2.5,162000,2 months ago
Pasadena,1600,4,3,192000,2 months ago
Pasadena,3400,7,4.5,507000,2 months ago
Pasadena,3000,7,4.5,463000,5 months ago
Pasadena,1850,3,3,153000,4 months ago
San Diego,2450,4,4,232000,3 months ago
San Diego,2350,5,4,284000,4 months ago
Pasadena,1850,3,3,236000,6 months ago
San Diego,3100,8,4.5,433000,1 month ago
San Diego,3400,5,4.5,458000,6 months ago
Pasadena,2800,6,4,234000,2 months ago
Pasadena,2200,4,3,218000,2 months ago
Van Nuys,1350,2,2.5,172000,3 months ago
Van Nuys,1250,2,2.5,167000,4 months ago
San Diego,3050,8,4.5,503000,4 months ago
Riverside,1450,3,2.5,147000,2 months ago
Van Nuys,2800,6,4,369000,3 months ago
Burbank,1400,2,2.5,143000,2 months ago
Van Nuys,2000,4,3,228000,6 months ago
Burbank,3050,5,4.5,505000,6 months ago
San Diego,2550,6,4,251000,3 months ago
San Diego,2150,4,3,163000,4 months ago
Van Nuys,2950,6,4.5,496000,3 months ago
San Diego,1700,3,3,161000,6 months ago
Van Nuys,1350,2,2.5,140000,2 months ago
San Diego,2050,5,3,201000,2 months ago
Riverside,3300,8,4.5,415000,3 months ago
San Diego,3100,7,4.5,465000,6 months ago
Long Beach,2000,4,3,173000,6 months ago
Van Nuys,2200,5,3,184000,1 month ago
Long Beach,1900,5,3,248000,2 months ago
Burbank,1100,2,2.5,147000,3 months ago
Pasadena,1250,3,2.5,157000,6 months ago
Long Beach,2900,5,4,296000,4 months ago
Pasadena,2900,5,4,249000,5 months ago
Long Beach,1450,3,2.5,155000,4 months ago
Riverside,2350,6,4,314000,5 months ago
Burbank,2300,3,3,162000,6 months ago
Burbank,3000,5,4.5,490000,6 months ago
Long Beach,2900,5,4,380000,5 months ago
San Diego,3300,6,4.5,421000,6 months ago
Long Beach,1550,5,3,187000,5 months ago
San Diego,1250,3,2.5,173000,2 months ago
Van Nuys,2750,4,4,257000,2 months ago
Burbank,3150,8,4.5,475000,6 months ago
Burbank,1150,2,2.5,143000,1 month ago
San Diego,2350,5,4,396000,6 months ago
Riverside,2400,4,4,333000,1 month ago
Riverside,1650,5,3,237000,3 months ago
Burbank,2450,6,4,278000,3 months ago
Riverside,1250,3,2.5,169000,1 month ago
San Diego,2000,4,3,236000,2 months ago
San Diego,3350,8,4.5,507000,5 months ago
Burbank,2150,4,3,212000,4 months ago
Riverside,3250,7,4.5,431000,6 months ago
San Diego,2350,4,4,427000,2 months ago
Riverside,3000,8,4.5,512000,1 month ago
Van Nuys,1100,3,2.5,166000,3 months ago
Burbank,2300,5,3,217000,4 months ago
Long Beach,3300,6,4.5,480000,4 months ago
San Diego,3150,8,4.5,437000,4 months ago
Van Nuys,2200,3,3,222000,2 months ago
Van Nuys,2600,4,4,436000,2 months ago
Long Beach,1600,3,3,162000,6 months ago
Van Nuys,1300,2,2.5,171000,4 months ago
Pasadena,2700,6,4,293000,3 months ago
Riverside,2200,4,3,184000,4 months ago
Burbank,3050,5,4.5,484000,2 months ago
Pasadena,2350,6,4,282000,5 months ago
Riverside,2550,4,4,375000,1 month ago
San Diego,2100,4,3,213000,6 months ago
San Diego,2050,3,3,215000,3 months ago
Van Nuys,1400,3,2.5,141000,1 month ago
Burbank,2150,4,3,216000,6 months ago
Burbank,1300,2,2.5,150000,4 months ago
Van Nuys,2050,3,3,178000,4 months ago
Long Beach,1450,3,2.5,143000,6 months ago
San Diego,1750,3,3,222000,5 months ago
Burbank,2000,4,3,163000,6 months ago
Pasadena,1900,4,3,186000,3 months ago
Long Beach,1250,3,2.5,164000,3 months ago
Riverside,1350,3,2.5,158000,2 months ago
Riverside,2000,4,3,247000,6 months ago
San Diego,2800,6,4,257000,4 months ago
Long Beach,1800,5,3,228000,1 month ago
Van Nuys,3150,7,4.5,434000,3 months ago
Van Nuys,2900,6,4,346000,2 months ago
Pasadena,2550,4,4,267000,5 months ago
Pasadena,3200,6,4.5,505000,4 months ago
San Diego,1250,3,2.5,158000,3 months ago
Long Beach,1950,4,3,163000,4 months ago
Pasadena,1250,2,2.5,140000,6 months ago
Van Nuys,2050,4,3,218000,4 months ago
Riverside,3100,6,4.5,446000,5 months ago
Long Beach,2500,4,4,280000,5 months ago
Van Nuys,1300,3,2.5,140000,2 months ago
Van Nuys,2700,4,4,401000,5 months ago
San Diego,2000,3,3,185000,3 months ago
Riverside,3000,7,4.5,410000,1 month ago
Pasadena,2450,5,4,384000,3 months ago
Van Nuys,2100,5,3,228000,6 months ago
Burbank,2300,3,3,213000,4 months ago
Riverside,2800,4,4,429000,4 months ago
Pasadena,3050,7,4.5,510000,3 months ago
Burbank,2500,6,4,376000,5 months ago
Long Beach,2550,5,4,341000,1 month ago
San Diego,3350,8,4.5,458000,6 months ago
Van Nuys,2650,5,4,424000,4 months ago
Pasadena,1400,2,2.5,171000,6 months ago
Burbank,2050,5,3,200000,2 months ago
Riverside,2500,6,4,423000,6 months ago
Burbank,1300,3,2.5,149000,5 months ago
Long Beach,1200,2,2.5,170000,2 months ago
Burbank,3250,7,4.5,430000,5 months ago
Pasadena,1650,3,3,248000,3 months ago
Pasadena,2100,4,3,228000,5 months ago
Burbank,2750,6,4,288000,6 months ago
San Diego,3300,8,4.5,428000,3 months ago
Riverside,1200,2,2.5,166000,6 months ago
Van Nuys,2250,3,3,200000,3 months ago
Pasadena,3250,7,4.5,442000,3 months ago
Van Nuys,2550,4,4,438000,6 months ago
Pasadena,1700,4,3,204000,3 months ago
Riverside,1400,2,2.5,144000,5 months ago
Long Beach,1950,3,3,152000,5 months ago
Burbank,1650,4,3,218000,3 months ago
Pasadena,1750,5,3,166000,2 months ago
Burbank,2750,5,4,291000,1 month ago
Burbank,1550,4,3,171000,1 month ago
Burbank,2050,3,3,230000,3 months ago
